id	last_name	first_name	
1272	刚毅	饼干	
1273	俊逸	麦片	
1274	俊秀	爆米花	
1275	严肃	铅笔	
1276	成熟	钢笔	
1277	沉稳	橡皮擦	
1278	谦和	书包	
1279	坚韧	啤酒	
1280	含蓄	红酒	
1281	文雅	伏特加	
1282	大方	烈酒	
1283	强悍	葡萄酒	
1284	强健	香槟	
1285	长情	汽水	
1286	踏实	豆浆	
1287	体贴	凉茶	
1288	细心	白开水	
1289	独立	乌龙茶	
1290	个性	红茶	
1291	另类	绿茶	
1292	纯真	咖啡	
1293	怕老婆	苦咖啡	
1294	冷冷	茶叶	
1295	听话	咖啡豆	
1296	乖乖	足球	
1297	叛逆	篮球	
1298	鬼畜	排球	
1299	无邪	羽毛球	
1300	傻傻	乒乓球	
1301	逼格高	键盘	
1302	性感	充电器	
1303	留胡子	硬盘	
1304	小胡子	鼠标	
1305	英俊	火锅	
1306	潇洒	香锅	
1307	风流	铁板烧	
1308	大力	葫芦	
1309	爱运动	佛珠	
1310	爱旅游	手链	
1311	打篮球	大脸猫	
1312	踢足球	机器人	
1313	玩篮球	机器猫	
1314	玩足球	上铺	
1315	豪气	创口贴	
1316	威武	伤痕	
1317	重情义	伤疤	
1318	讲道义	手术刀	
1319	重感情	口罩	
1320	爱喝酒	闹钟	
1321	酒量大	感冒药	
1322	酒量小	消炎药	
1323	骑白马	山寨机	
1324	玉树	自行车	
1325	神勇	小摩托	
1326	文武	单车	
1327	好学	火车	
1328	谦虚	警车	
1329	风度	消防车	
1330	英勇	围巾	
1331	傲视	手套	
1332	光明	帽子	
1333	豪情	风衣	
1334	温文	眼镜	
1335	年轻	墨镜	
1336	英姿	毛衣	
1337	朝气	皮带	
1338	胡子	领带	
1339	闷骚	西装	
1340	有情	领结	
1341	知识	冲锋衣	
1342	才高	瀑布	
1343	双杠	树叶	
1344	单杠	松球	
1345	拐杖	夕阳	
1346	滑板	太阳	
1347	沙滩裤	哑铃	
1348	人字拖	匕首	
1349	跑步	小刀	
1350	大海	弓箭	
1351	高山	铁链	
1352	荒野	有钱人	
1353	麻辣	富人	
1354	煎饼	首富	
1355	香烟	富豪	
