heroid	name	dec	arms	hero_type	occupation	lv	nextLv	nextNeedItem	nextNeedSort	icon	color	attack_type	attack_anim_time	fly_weapon_name	fly_weapon_time	fly_weapon_position_array	attack_interval	hit_name	get_merge_audio	attack_audio	skill_audio	death_audio	success_audio	defense	attack	hp	range	search_range	speed	battle	souls	quantity	itemType	itemNum	reward	num	price	barracks	unlock	sort	sequence	skill_id	passive_skill_array	passive_skill_id	passive_skill_id	passive_skill_id	
71104	"Pháo Phòng Ngự"	"Pháo Đài Phòng Thủ Hải Đảo, bảo vệ khu vực và ngăn chặn sự xâm lược của kẻ địch."	0	2	12	4	0	0	0	71101	4	2	10000	fly_15	4000	0,0|0,0	25000	hit_12	169_70001	168_71101	168_71101	""	""	80	240	9000	330	340	0	1	0	0	71103	2	0	0	0	1	0	0	0	75301	0|1|3	0	0	0	
71121	"Pháo Băng Giá"	"Phun ra đạn băng, làm giảm tốc độ tấn công và di chuyển của kẻ địch."	0	2	12	1	71122	71121	0	71121	2	2	10000	fly_16	4000	0,0|0,0	25000	hit_12	169_70001	168_71101	168_71101	""	""	30	130	4000	450	500	0	1	0	0	0	0	0	0	0	1	0	0	0	75401	0|1|3	0	0	0	
71122	"Pháo Băng Giá"	"Phun ra đạn băng, làm giảm tốc độ tấn công và di chuyển của kẻ địch."	0	2	12	2	71123	71122	0	71121	3	2	10000	fly_16	4000	0,0|0,0	25000	hit_12	169_70001	168_71101	168_71101	""	""	40	150	5500	460	500	0	1	0	0	71121	2	0	0	0	1	0	0	0	75401	0|1|3	0	0	0	
71123	"Pháo Băng Giá"	"Phun ra đạn băng, làm giảm tốc độ tấn công và di chuyển của kẻ địch."	0	2	12	3	71124	71123	0	71121	4	2	10000	fly_16	4000	0,0|0,0	25000	hit_12	169_70001	168_71101	168_71101	""	""	50	170	6500	470	500	0	1	0	0	71122	2	0	0	0	1	0	0	0	75401	0|1|3	0	0	0	
71124	"Pháo Băng Giá"	"Phun ra đạn băng, làm giảm tốc độ tấn công và di chuyển của kẻ địch."	0	2	12	4	0	0	0	71121	4	2	10000	fly_16	4000	0,0|0,0	25000	hit_12	169_70001	168_71101	168_71101	""	""	60	200	7500	480	500	0	1	0	0	71123	2	0	0	0	1	0	0	0	75401	0|1|3	0	0	0	
72101	"Thủy Tinh Linh(xanh)"	"Thủy Tinh Linh sở hữu màn chắn bảo vệ từ nước, mang trong mình sứ mệnh bảo vệ thành trì và muôn dân."	0	0	11	1	72102	72101	0	72101	2	2	0	""	0	0,0|0,0	0	hit	169_70001	""	""	""	""	50	0	10000	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	75201	0|1|3	0	0	0	
72102	"Thủy Tinh Linh(xanh)"	"Thủy Tinh Linh sở hữu màn chắn bảo vệ từ nước, mang trong mình sứ mệnh bảo vệ thành trì và muôn dân."	0	0	11	2	72103	72102	0	72101	3	2	0	""	0	0,0|0,0	0	hit	169_70001	""	""	""	""	60	0	15000	0	0	0	1	0	0	72101	2	0	0	0	1	0	0	0	75201	0|1|3	0	0	0	
72103	"Thủy Tinh Linh(xanh)"	"Thủy Tinh Linh sở hữu màn chắn bảo vệ từ nước, mang trong mình sứ mệnh bảo vệ thành trì và muôn dân."	0	0	11	3	72104	72103	0	72101	4	2	0	""	0	0,0|0,0	0	hit	169_70001	""	""	""	""	70	0	20000	0	0	0	1	0	0	72102	2	0	0	0	1	0	0	0	75201	0|1|3	0	0	0	
72104	"Thủy Tinh Linh(xanh)"	"Thủy Tinh Linh sở hữu màn chắn bảo vệ từ nước, mang trong mình sứ mệnh bảo vệ thành trì và muôn dân."	0	0	11	4	0	0	0	72101	4	2	0	""	0	0,0|0,0	0	hit	169_70001	""	""	""	""	80	0	25000	0	0	0	1	0	0	72103	2	0	0	0	1	0	0	0	75201	0|1|3	0	0	0	
72111	"Thủy Tinh Linh(vàng)"	"Tăng cường phòng thủ cho tất cả tháp."	0	0	11	1	72112	72111	0	72111	2	2	""	""	""	""	""	""	""	""	""	""	""	50	0	10000	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	75501	0|1|3	0	0	0	
72112	"Thủy Tinh Linh(vàng)"	"Tăng cường phòng thủ cho tất cả tháp."	0	0	11	2	72113	72112	0	72111	3	2	""	""	""	""	""	""	""	""	""	""	""	60	0	15000	0	0	0	1	0	0	72111	2	0	0	0	1	0	0	0	75501	0|1|3	0	0	0	
72113	"Thủy Tinh Linh(vàng)"	"Tăng cường phòng thủ cho tất cả tháp."	0	0	11	3	72114	72113	0	72111	4	2	""	""	""	""	""	""	""	""	""	""	""	70	0	20000	0	0	0	1	0	0	72112	2	0	0	0	1	0	0	0	75501	0|1|3	0	0	0	
72114	"Thủy Tinh Linh(vàng)"	"Tăng cường phòng thủ cho tất cả tháp."	0	0	11	4	0	0	0	72111	4	2	""	""	""	""	""	""	""	""	""	""	""	80	0	25000	0	0	0	1	0	0	72113	2	0	0	0	1	0	0	0	75501	0|1|3	0	0	0	
72121	"Thủy Tinh Linh(đỏ)"	"Tăng sức tấn công cho các công trình chiến đấu."	0	0	11	1	72122	72121	0	72121	2	2	""	""	""	""	""	""	""	""	""	""	""	50	0	10000	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	75601	0|1|3	0	0	0	
72122	"Thủy Tinh Linh(đỏ)"	"Tăng sức tấn công cho các công trình chiến đấu."	0	0	11	2	72123	72122	0	72121	3	2	""	""	""	""	""	""	""	""	""	""	""	60	0	15000	0	0	0	1	0	0	72121	2	0	0	0	1	0	0	0	75601	0|1|3	0	0	0	
72123	"Thủy Tinh Linh(đỏ)"	"Tăng sức tấn công cho các công trình chiến đấu."	0	0	11	3	72124	72123	0	72121	4	2	""	""	""	""	""	""	""	""	""	""	""	70	0	20000	0	0	0	1	0	0	72122	2	0	0	0	1	0	0	0	75601	0|1|3	0	0	0	
72124	"Thủy Tinh Linh(đỏ)"	"Tăng sức tấn công cho các công trình chiến đấu."	0	0	11	4	0	0	0	72121	4	2	""	""	""	""	""	""	""	""	""	""	""	80	0	25000	0	0	0	1	0	0	72123	2	0	0	0	1	0	0	0	75601	0|1|3	0	0	0	
