type	lv	task_id	next_id	icon_id	name	content	condition_type	condition_value	timeout	times	reward_array	reward_id	reward_num	reward_id	reward_num	""	""	""	""	""	
2	0	20038	20039	11003	"Xây dựng vương quốc"	"Tiêm linh hồn %s lần"	24	1	0	1	1|2|2	11006	2	0	0	""	""	""	""	""	
2	0	20039	20040	11003	"Xây dựng vương quốc"	"Nâng cấp nhà lính cấp %s"	10	3	0	1	1|2|2	18004	1	0	0	""	""	""	""	""	
2	0	20040	20041	11003	"Xây dựng vương quốc"	"Tiêm linh hồn %s lần"	24	1	0	1	1|2|2	11006	2	0	0	""	""	""	""	""	
2	0	20041	20042	11003	"Xây dựng vương quốc"	"Nâng cấp lâu đài cấp %s"	3	5	0	1	1|2|2	30001	1	0	0	""	""	""	""	""	
2	0	20042	20043	11003	"Xây dựng vương quốc"	"Nâng cấp mỏ cấp %s"	7	1	0	1	1|2|2	11006	2	0	0	""	""	""	""	""	
2	0	20043	20044	11003	"Xây dựng vương quốc"	"Nâng cấp tàu cấp %s"	6	4	0	1	1|2|2	18006	1	0	0	""	""	""	""	""	
2	0	20044	20045	11003	"Xây dựng vương quốc"	"Nâng cấp nhà dân cấp %s"	4	3	0	1	1|2|2	11006	2	0	0	""	""	""	""	""	
2	0	20045	20046	11003	"Xây dựng vương quốc"	"Nâng cấp nhà lính cấp %s"	10	4	0	1	1|2|2	30001	1	0	0	""	""	""	""	""	
2	0	20046	20047	11003	"Xây dựng vương quốc"	"Nâng cấp doang trại cấp %s"	9	5	0	1	1|2|2	11006	2	0	0	""	""	""	""	""	
2	0	20047	20048	11003	"Xây dựng vương quốc"	"Nâng cấp lâu đài cấp %s"	3	6	0	1	1|2|2	11006	2	0	0	""	""	""	""	""	
2	0	20048	20049	11003	"Xây dựng vương quốc"	"Nâng cấp nhà lính cấp %s"	10	5	0	1	1|2|2	11006	2	0	0	""	""	""	""	""	
2	0	20049	20050	11003	"Xây dựng vương quốc"	"Nâng cấp doang trại cấp %s"	9	6	0	1	1|2|2	30001	1	0	0	""	""	""	""	""	
2	0	20050	20051	11003	"Xây dựng vương quốc"	"Đền Hải Thần lên cấp %s"	20	2	0	1	1|2|2	11006	2	0	0	""	""	""	""	""	
2	0	20051	20052	11003	"Xây dựng vương quốc"	"Nâng cấp lâu đài cấp %s"	3	7	0	1	2|2|2	18005	1	11006	1	""	""	""	""	""	
2	0	20052	20053	11003	"Xây dựng vương quốc"	"Nâng cấp nhà chài cấp %s"	21	1	0	1	1|2|2	11006	2	0	0	""	""	""	""	""	
2	0	20053	20054	11003	"Xây dựng vương quốc"	"Nâng cấp hải đăng cấp %s"	5	4	0	1	2|2|2	30001	1	11006	1	""	""	""	""	""	
2	0	20054	20055	11003	"Xây dựng vương quốc"	"Nâng cấp tàu cấp %s"	6	5	0	1	1|2|2	11006	2	0	0	""	""	""	""	""	
2	0	20055	20056	11003	"Xây dựng vương quốc"	"Nâng cấp nhà dân cấp %s"	4	4	0	1	1|2|2	11006	2	0	0	""	""	""	""	""	
2	0	20056	20057	11003	"Xây dựng vương quốc"	"Nâng cấp lâu đài cấp %s"	3	8	0	1	2|2|2	30001	1	11006	1	""	""	""	""	""	
2	0	20057	20058	11003	"Xây dựng vương quốc"	"Đền Hải Thần lên cấp %s"	20	3	0	1	1|2|2	11006	2	0	0	""	""	""	""	""	
2	0	20058	20059	11003	"Xây dựng vương quốc"	"Nâng cấp nhà lính cấp %s"	10	6	0	1	1|2|2	11006	2	0	0	""	""	""	""	""	
2	0	20059	20060	11003	"Xây dựng vương quốc"	"Nâng cấp doang trại cấp %s"	9	7	0	1	2|2|2	30001	1	11006	1	""	""	""	""	""	
2	0	20060	20061	11003	"Xây dựng vương quốc"	"Nâng cấp hải đăng cấp %s"	5	5	0	1	1|2|2	11006	2	0	0	""	""	""	""	""	
2	0	20061	20062	11003	"Xây dựng vương quốc"	"Nâng cấp lâu đài cấp %s"	3	9	0	1	2|2|2	30001	1	11006	1	""	""	""	""	""	
2	0	20062	20063	11003	"Xây dựng vương quốc"	"Nâng cấp xưởng cấp %s"	22	1	0	1	1|2|2	11006	2	0	0	""	""	""	""	""	
2	0	20063	20064	11003	"Xây dựng vương quốc"	"Nâng cấp tàu cấp %s"	6	6	0	1	2|2|2	30001	1	11006	1	""	""	""	""	""	
2	0	20064	20065	11003	"Xây dựng vương quốc"	"Nâng cấp hải đăng cấp %s"	5	6	0	1	1|2|2	11006	2	0	0	""	""	""	""	""	
2	0	20065	20066	11003	"Xây dựng vương quốc"	"Nâng câp xưởng gỗ %s"	8	2	0	1	2|2|2	30001	1	11006	1	""	""	""	""	""	
2	0	20066	20067	11003	"Xây dựng vương quốc"	"Nâng cấp nhà chài cấp %s"	21	2	0	1	1|2|2	11006	2	0	0	""	""	""	""	""	
2	0	20067	20068	11003	"Xây dựng vương quốc"	"Nâng cấp lâu đài cấp %s"	3	10	0	1	2|2|2	30001	1	11006	1	""	""	""	""	""	
2	0	20068	20069	11003	"Xây dựng vương quốc"	"Nâng cấp xưởng cấp %s"	22	2	0	1	1|2|2	11006	2	0	0	""	""	""	""	""	
2	0	20069	20070	11003	"Xây dựng vương quốc"	"Nâng cấp nhà lính cấp %s"	10	7	0	1	2|2|2	30001	1	11006	1	""	""	""	""	""	
2	0	20070	20071	11003	"Xây dựng vương quốc"	"Nâng cấp doang trại cấp %s"	9	8	0	1	1|2|2	11006	2	0	0	""	""	""	""	""	
2	0	20071	20072	11003	"Xây dựng vương quốc"	"Nâng câp xưởng gỗ %s"	8	3	0	1	2|2|2	30001	1	11006	1	""	""	""	""	""	
2	0	20072	20073	11003	"Xây dựng vương quốc"	"Nâng cấp tàu cấp %s"	6	7	0	1	1|2|2	11006	2	0	0	""	""	""	""	""	
2	0	20073	20074	11003	"Xây dựng vương quốc"	"Nâng cấp lâu đài cấp %s"	3	11	0	1	2|2|2	30001	1	11006	1	""	""	""	""	""	
2	0	20074	20075	11003	"Xây dựng vương quốc"	"Nâng câp xưởng gỗ %s"	8	4	0	1	1|2|2	11006	2	0	0	""	""	""	""	""	
2	0	20075	20076	11003	"Xây dựng vương quốc"	"Đền Hải Thần lên cấp %s"	20	4	0	1	2|2|2	30001	1	11006	1	""	""	""	""	""	
2	0	20076	20077	11003	"Xây dựng vương quốc"	"Nâng cấp nhà lính cấp %s"	10	8	0	1	1|2|2	11006	2	0	0	""	""	""	""	""	
2	0	20077	20078	11003	"Xây dựng vương quốc"	"Nâng cấp hải đăng cấp %s"	5	7	0	1	2|2|2	30001	1	11006	1	""	""	""	""	""	
2	0	20078	20079	11003	"Xây dựng vương quốc"	"Nâng cấp mỏ cấp %s"	7	2	0	1	1|2|2	11006	2	0	0	""	""	""	""	""	
2	0	20079	20080	11003	"Xây dựng vương quốc"	"Nâng cấp lâu đài cấp %s"	3	12	0	1	2|2|2	30001	1	11006	1	""	""	""	""	""	
2	0	20080	20081	11003	"Xây dựng vương quốc"	"Nâng cấp nhà chài cấp %s"	21	3	0	1	1|2|2	11006	2	0	0	""	""	""	""	""	
2	0	20081	20082	11003	"Xây dựng vương quốc"	"Nâng cấp mỏ cấp %s"	7	3	0	1	2|2|2	30001	1	11006	1	""	""	""	""	""	
2	0	20082	20083	11003	"Xây dựng vương quốc"	"Nâng cấp tàu cấp %s"	6	8	0	1	1|2|2	11006	2	0	0	""	""	""	""	""	
2	0	20083	20084	11003	"Xây dựng vương quốc"	"Nâng cấp hải đăng cấp %s"	5	8	0	1	2|2|2	30001	1	11006	1	""	""	""	""	""	
2	0	20084	20085	11003	"Xây dựng vương quốc"	"Nâng cấp lâu đài cấp %s"	3	13	0	1	1|2|2	11006	2	0	0	""	""	""	""	""	
2	0	20085	20086	11003	"Xây dựng vương quốc"	"Nâng cấp doang trại cấp %s"	9	9	0	1	2|2|2	30001	1	11006	1	""	""	""	""	""	
2	0	20086	20087	11003	"Xây dựng vương quốc"	"Nâng cấp tàu cấp %s"	6	9	0	1	1|2|2	11006	2	0	0	""	""	""	""	""	
2	0	20087	20088	11003	"Xây dựng vương quốc"	"Nâng cấp nhà lính cấp %s"	10	9	0	1	2|2|2	30001	1	11006	1	""	""	""	""	""	
2	0	20088	20089	11003	"Xây dựng vương quốc"	"Nâng cấp hải đăng cấp %s"	5	9	0	1	1|2|2	11006	2	0	0	""	""	""	""	""	
2	0	20089	20090	11003	"Xây dựng vương quốc"	"Nâng cấp mỏ cấp %s"	7	4	0	1	2|2|2	30001	1	11006	1	""	""	""	""	""	
2	0	20090	20091	11003	"Xây dựng vương quốc"	"Nâng cấp lâu đài cấp %s"	3	14	0	1	1|2|2	11006	2	0	0	""	""	""	""	""	
2	0	20091	20092	11003	"Xây dựng vương quốc"	"Nâng cấp nhà chài cấp %s"	21	4	0	1	2|2|2	30001	1	11006	1	""	""	""	""	""	
2	0	20092	20093	11003	"Xây dựng vương quốc"	"Nâng cấp doang trại cấp %s"	9	10	0	1	1|2|2	11006	2	0	0	""	""	""	""	""	
2	0	20093	20094	11003	"Xây dựng vương quốc"	"Nâng cấp nhà lính cấp %s"	10	10	0	1	2|2|2	30001	1	11006	1	""	""	""	""	""	
2	0	20094	20095	11003	"Xây dựng vương quốc"	"Nâng cấp hải đăng cấp %s"	5	10	0	1	1|2|2	11006	2	0	0	""	""	""	""	""	
2	0	20095	20096	11003	"Xây dựng vương quốc"	"Nâng cấp tàu cấp %s"	6	10	0	1	2|2|2	30001	1	11006	1	""	""	""	""	""	
2	0	20096	20097	11003	"Xây dựng vương quốc"	"Nâng cấp lâu đài cấp %s"	3	15	0	1	1|2|2	11006	2	0	0	""	""	""	""	""	
2	0	20097	0	11003	"Xây dựng vương quốc"	"Lâu đài cấp %s (chưa mở)"	3	16	0	1	2|2|2	30001	1	11006	1	""	""	""	""	""	
